,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
194,Udonis Haslem,PF,CLE@MIA,MIA,8.46,1693,3500,-$1807,8.43,1580,7.93,4.41,8.07,27.0, , ,0.0,0.0
195,Ersan Ilyasova,PF,UTA@BOS,UTA,8.74,1749,3500,-$1751,8.57,1607,14.9,10.72,12.73,3.0, , ,0.0,0.0
196,Darius Miller,SF,OKC@CHI,OKC,9.26,1851,3500,-$1649,9.65,1808,8.66,8.63,12.07,19.5, , ,0.0,0.0
197,Skylar Mays,SG,ATL@HOU,ATL,4.12,824,3500,-$2676,4.31,809,6.6,10.0,11.03, , , ,0.0,0.0
198,CJ Elleby,SF,NO@POR,POR,3.57,715,3500,-$2785,3.49,654,6.02,6.74,14.83, , , ,1.7900303166506384,0.0
199,Naji Marshall,SF,NO@POR,NO,1.4,281,3500,-$3219,1.37,258,2.08,2.35,2.4, , , ,0.0,0.0
200,Udoka Azubuike,C,UTA@BOS,UTA,3.06,612,3500,-$2888,2.96,555,3.3,3.4,4.8, ,O,Ankle,0.0,0.0
201,Josh Hall,SF,OKC@CHI,OKC,3.37,675,3500,-$2825,3.45,647,4.19,4.19,4.73, ,GTD,Knee,0.0,0.0
202,Elijah Hughes,SF,UTA@BOS,UTA,4.42,884,3500,-$2616,4.52,848,4.55,4.55,4.3, , , ,0.0,0.0
203,Jaden McDaniels,PF,MIN@LAL,MIN,16.96,3393,3500,-$107,17.08,3202,14.57,19.07,23.83, , , ,0.0,0.0
204,Kira Lewis,PG,NO@POR,NO,10.57,2114,3500,-$1386,11.12,2085,11.88,15.23,19.23, , , ,0.0,0.0
205,Frank Ntilikina,PG,NY@PHI,NY,5.36,1072,3500,-$2428,5.51,1033,9.09,9.65,10.0,9.0, , ,0.0,0.0
206,Isaiah Joe,PG,NY@PHI,PHI,3.61,721,3500,-$2779,3.87,726,8.11,4.31,3.57, , , ,0.0,0.0
207,Tyrese Maxey,SG,NY@PHI,PHI,6.48,1295,3500,-$2205,6.52,1222,13.41,8.45,7.3, , , ,0.0,0.0
